country_code,year,gdp_meur,population,country_name,gdp_per_capita_eur,gdp_per_capita_usd,us_gdp_pc,ppp_rate
HU,2015,112854.0,9815858.0,Hungary,11497.110084518337,12416.878891279805,,0.3851
HU,2016,116593.5,9779652.0,Hungary,11922.049987054754,12875.813986019135,,0.4013
HU,2017,127222.5,9739857.0,Hungary,13062.050089647108,14107.014096818877,,0.4224
HU,2018,136580.0,9713655.0,Hungary,14060.618788705178,15185.468291801593,,0.443
HU,2019,147373.2,9700272.0,Hungary,15192.687380312635,16408.102370737648,,0.4649
HU,2020,138954.5,9689376.0,Hungary,14340.913181612521,15488.186236141524,,0.4567
HU,2021,154971.7,9651461.0,Hungary,16056.812538536911,17341.357541619866,,0.4548
HU,2022,168546.2,9610403.0,Hungary,17537.89097085731,18940.922248525894,,0.4457
HU,2023,196983.7,9599744.0,Hungary,20519.682608202886,22161.257216859118,,0.48
HU,2024,206156.2,9584627.0,Hungary,21509.047769934084,23229.771591528814,,0.471
HU,2025,218833.9,9539502.0,Hungary,22939.761425701257,24774.94233975736,,0.5285
IE,1995,52881.3,3597617.0,Ireland,14698.97990808916,15874.898300736295,,1.0885
IE,1996,59701.5,3620065.0,Ireland,16491.83094778685,17811.1774236098,,1.1652
IE,1997,73118.8,3654955.0,Ireland,20005.389943241436,21605.821138700754,,1.3374
IE,1998,80565.7,3693386.0,Ireland,21813.506630501117,23558.587160941206,,1.3935
IE,1999,92790.5,3732006.0,Ireland,24863.438054494018,26852.513098853542,,1.5281
IE,2000,108495.3,3777565.0,Ireland,28720.96178358281,31018.638726269437,,1.7362
IE,2001,122089.2,3832783.0,Ireland,31853.929638072386,34402.24400911818,,1.8627
IE,2002,135997.9,3899702.0,Ireland,34873.921135512406,37663.8348263534,,1.9483
IE,2003,145576.9,3964191.0,Ireland,36722.97828232797,39660.81654491421,,2.0097
IE,2004,156260.0,4028851.0,Ireland,38785.25167597412,41888.07181005205,,2.0151
IE,2005,170306.8,4111672.0,Ireland,41420.32730237237,44733.95348656216,,2.013
IE,2006,184916.2,4208156.0,Ireland,43942.33483739671,47457.72162438845,,2.0438
IE,2007,197069.4,4340118.0,Ireland,45406.46129897851,49038.9782028968,,1.9692
IE,2008,187283.0,4457765.0,Ireland,42012.75751413545,45373.77811526629,,1.8393
IE,2009,169519.7,4521322.0,Ireland,37493.39241929683,40492.86381284058,,1.7592
IE,2010,167255.1,4549428.0,Ireland,36763.98439540092,39705.103147033,,1.632
IE,2011,173120.4,4570881.0,Ireland,37874.62416982634,40904.59410341245,,1.6008
IE,2012,176621.9,4589287.0,Ireland,38485.69505459127,41564.55065895857,,1.5632
IE,2013,182908.6,4609779.0,Ireland,39678.38805287629,42852.65909710639,,1.4086
IE,2014,200594.9,4637852.0,Ireland,43251.68202866327,46711.81659095634,,1.5358
IE,2015,272282.9,4677627.0,Ireland,58209.622101120935,62866.391869210616,,1.9499
IE,2016,275933.1,4726286.0,Ireland,58382.6497169236,63053.2616942775,,1.9653
IE,2017,308366.0,4799157.0,Ireland,64254.201310771874,69394.53741563363,,2.0778
IE,2018,335136.0,4855733.0,Ireland,69018.62190528186,74540.11165770442,,2.1744
IE,2019,363752.6,4940311.0,Ireland,73629.49417556911,79519.85370961465,,2.2532
IE,2020,381728.7,5012600.0,Ireland,76153.83234249691,82246.13892989667,,2.4254
IE,2021,448445.1,5066893.0,Ireland,88504.94770661232,95585.34352314132,,2.5071
IE,2022,520718.4,5154277.0,Ireland,101026.46792168911,109108.58535542425,,2.5675
IE,2023,524728.8,5271395.0,Ireland,99542.68272440218,107506.09734235436,,2.3285
IE,2024,562794.2,5351681.0,Ireland,105162.13503757044,113575.10584057607,,2.3026
IE,2025,638683.3,5440278.0,Ireland,117399.0189471935,126790.940462969,,2.7047
IS,1995,5631.7,266978.0,Iceland,21094.247466083347,22781.787263370017,,1.562
IS,1996,6037.8,267958.0,Iceland,22532.635711566738,24335.24656849208,,1.5919
IS,1997,6802.0,269874.0,Iceland,25204.35462475081,27220.702994730877,,1.685
IS,1998,7690.3,272381.0,Iceland,28233.613945172387,30492.30306078618,,1.8036
IS,1999,8535.9,275712.0,Iceland,30959.479456824512,33436.23781337048,,1.9028
IS,2000,9900.3,279049.0,Iceland,35478.71520772338,38317.01242434125,,2.1447
IS,2001,9276.0,283361.0,Iceland,32735.62699171728,35354.47715105466,,1.9143
IS,2002,10015.1,286575.0,Iceland,34947.57044403734,37743.37607956033,,1.9524
IS,2003,10237.9,288471.0,Iceland,35490.2225873658,38329.44039435507,,1.9422
IS,2004,11248.0,290570.0,Iceland,38710.121485356365,41806.931204184875,,2.0112
