idx,title,company,region,ccaa,role,experience,salary_est_eur,regional_mult,is_data,is_it_software,gdp_per_capita
158,Research Data Scientist,Meta,,Total Nacional,data_scientist,Mid,42000.0,1.0,True,False,
159,Data Engineer,Amazon,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
160,Ad Operations Data Analyst,Younited,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
161,Analista Funcional BI,TSD Consulting,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
162,"Data Analyst, Pricing-ESP",Ingram Micro,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
163,Data Engineer - BI,Glovo,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
164,Data Engineer,Amazon,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
165,Data Engineer,Robert Walters,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
166,Data Governance Analyst - Europe remote,Cimpress,,Total Nacional,data_analyst,Mid,36500.0,1.0,True,False,
167,People Data Analyst,eDreams ODIGEO,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
168,Data Engineer,Amazon,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
169,Data Engineer,Siemens Energy,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
170,Product Data Analyst (f/m/d),Homelike,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
171,Data Engineer,Amazon,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
172,Business Intelligence Engineer,Amazon,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,True,28590.0
173,Data Engineer,DNV,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
174,Data Engineer,PepsiCo,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
175,Data Visualization Engineer,Sanofi,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,True,28590.0
176,Credit Intelligence Analyst,Tech Data,Catalonia,Catalonia,backend,Mid,38130.55,1.0741,True,False,28590.0
177,Data Analyst- Finance,TravelPerk,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
178,BI Designer and Data Visualization,HP,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
179,"Business Intelligence Engineer, EMEA GES",Amazon,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,True,28590.0
180,Junior Data Scraping Engineer (Python),Flanks,Catalonia,Catalonia,data_analyst,Junior,27926.6,1.0741,True,True,28590.0
181,Data Engineer BI,Michael Page,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
182,Business Intelligence Consultant,Mur&Partners,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
183,Business Intelligence Analyst (Senior),Thunes,Catalonia,Catalonia,data_analyst,Senior,52630.9,1.0741,True,False,28590.0
184,Business Intelligence Engineer,Amazon,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,True,28590.0
185,Analista de datos ELK,Alisys,,Total Nacional,data_analyst,Mid,36500.0,1.0,False,False,
186,Business Intelligence Consultant,Mur&Partners,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
187,BI Consultant,,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
188,Data Engineer,Page Personnel,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
189,Junior Data Scientist - Python,Between Technology,Catalonia,Catalonia,data_scientist,Junior,32223.0,1.0741,True,True,28590.0
190,IT | Data Analyst | Cataluña,ALTEN,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
191,Data Engineer Junior - BI,Kiteris,Catalonia,Catalonia,data_engineer,Junior,33297.1,1.0741,True,True,28590.0
192,Data Engineer BI,Michael Page,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
193,BI Data Analyst (M/F),Madbox,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
194,Data Analyst,Applus+ Laboratories,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
195,Data Analyst - Qcommerce - Partner Operations,Glovo,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
196,Business Data Analyst for Tax Engine,Amazon,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
197,Marketing Data Analyst,CloudBlue,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
198,Data Engineer - BI (They/She/He),Glovo,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
199,Business Data Analyst for Tax Engine,Amazon,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
200,Senior Product Data Analyst,BLING,Catalonia,Catalonia,data_analyst,Senior,52630.9,1.0741,True,False,28590.0
201,BI Specialist,JLL,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
202,Data Analyst,Housfy,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
203,"Senior Data Analyst, Vendor Analytics – Digital Markets",Gartner,Catalonia,Catalonia,data_analyst,Senior,52630.9,1.0741,True,False,28590.0
204,Data Engineer,BLING,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
205,Data Engineer - BI (They/She/He),Glovo,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
206,Data Analyst,Q-tech,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
207,Data & Analytics products and Services (DAPS) Internal Communications Intern,Nestlé,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
208,"Data Engineer, EU Workforce Staffing",Amazon,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
209,Data Engineer,GfK,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
210,Senior Data Analyst,Senior Data Analyst,,Total Nacional,data_analyst,Senior,49000.0,1.0,True,False,
211,Business Intelligence Engineer,Amazon,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,True,28590.0
212,"Data Analyst, Marketplace",OnFrontiers,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
213,Senior Business Intelligence & Insights Analyst,Veriff,Catalonia,Catalonia,data_analyst,Senior,52630.9,1.0741,True,False,28590.0
214,Data Engineer,Pronovias,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
